t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.268,0.086320505,0.280836701,0,0.280836701,0.913679302,0,0,0,0
0.269,0.086987488,0.281816721,0,0.281816721,0.913012385,0,0,0,0
0.27,0.087713592,0.282877922,0,0.282877922,0.912286401,0,0,0,0
0.271,0.088477269,0.283987731,0,0.283987731,0.911522627,0,0,0,0
0.272,0.089254119,0.285110176,0,0.285110176,0.9107458,0,0,0,0
0.273,0.090015352,0.286203742,0,0.286203742,0.909984529,0,0,0,0
0.274,0.090736255,0.287233681,0,0.287233681,0.90926373,0,0,0,0
0.275,0.091398373,0.288174778,0,0.288174778,0.908601582,0,0,0,0
0.276,0.091988683,0.289009988,0,0.289009988,0.908011377,0,0,0,0
0.277,0.092505872,0.289738745,0,0.289738745,0.907494247,0,0,0,0
0.278,0.092956208,0.290371031,0,0.290371031,0.907043695,0,0,0,0
0.279,0.093357071,0.290932149,0,0.290932149,0.906642854,0,0,0,0
0.28,0.093731523,0.291454822,0,0.291454822,0.906268418,0,0,0,0
0.281,0.094104268,0.29197371,0,0.29197371,0.90589577,0,0,0,0
0.282,0.094501682,0.292525381,0,0.292525381,0.905498147,0,0,0,0
0.283,0.094946079,0.293140441,0,0.293140441,0.905053854,0,0,0,0
0.284,0.095455758,0.293843418,0,0.293843418,0.904544234,0,0,0,0
0.285,0.096037336,0.294642448,0,0.294642448,0.903962731,0,0,0,0
0.286,0.096691854,0.29553771,0,0.29553771,0.903308213,0,0,0,0
0.287,0.097411022,0.296516627,0,0.296516627,0.902588964,0,0,0,0
0.288,0.098175801,0.297552168,0,0.297552168,0.901823998,0,0,0,0
0.289,0.098965108,0.298615158,0,0.298615158,0.901034892,0,0,0,0
0.29,0.099753574,0.299671173,0,0.299671173,0.900246501,0,0,0,0
0.291,0.100517325,0.300688505,0,0.300688505,0.899482489,0,0,0,0
0.292,0.101233482,0.30163765,0,0.30163765,0.898766518,0,0,0,0
0.293,0.101887696,0.302500546,0,0.302500546,0.898112178,0,0,0,0
0.294,0.102472775,0.303269029,0,0.303269029,0.897527158,0,0,0,0
0.295,0.102990538,0.303946495,0,0.303946495,0.897009313,0,0,0,0
0.296,0.103451319,0.304547429,0,0.304547429,0.89654851,0,0,0,0
