t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.01005,0.0348431878,0.1833824962,0,0.1833824962,0.9651568532,0,0,0,0
0.0101,0.035180781,0.1842364967,0,0.1842364967,0.9648190141,0,0,0,0
0.01015,0.0355170406,0.1850826144,0,0.1850826144,0.9644828439,0,0,0,0
0.0102,0.0358530991,0.185923785,0,0.185923785,0.9641468525,0,0,0,0
0.01025,0.0361898094,0.186762169,0,0.186762169,0.9638101459,0,0,0,0
0.0103,0.0365262851,0.1875955909,0,0.1875955909,0.9634734988,0,0,0,0
0.01035,0.0368646197,0.1884293258,0,0.1884293258,0.9631352425,0,0,0,0
0.0104,0.0372042321,0.1892619282,0,0.1892619282,0.9627957344,0,0,0,0
0.01045,0.0375471972,0.19009839,0,0.19009839,0.9624525905,0,0,0,0
0.0105,0.0378920659,0.1909351945,0,0.1909351945,0.962107718,0,0,0,0
0.01055,0.0382406972,0.1917768121,0,0.1917768121,0.9617592096,0,0,0,0
0.0106,0.0385931022,0.1926231235,0,0.1926231235,0.9614066482,0,0,0,0
0.01065,0.0389493443,0.1934742481,0,0.1934742481,0.9610505104,0,0,0,0
0.0107,0.0393103622,0.1943323463,0,0.1943323463,0.9606896639,0,0,0,0
0.01075,0.0396758616,0.1951965243,0,0.1951965243,0.9603239894,0,0,0,0
0.0108,0.0400453247,0.1960655153,0,0.1960655153,0.959954381,0,0,0,0
0.01085,0.0404196754,0.1969414204,0,0.1969414204,0.9595802426,0,0,0,0
0.0109,0.0407974049,0.1978205442,0,0.1978205442,0.9592023492,0,0,0,0
0.01095,0.0411803946,0.1987072378,0,0.1987072378,0.9588195682,0,0,0,0
0.011,0.0415658578,0.1995949149,0,0.1995949149,0.9584340453,0,0,0,0
0.01105,0.0419550575,0.2004864514,0,0.2004864514,0.9580446482,0,0,0,0
0.0111,0.0423467457,0.2013789862,0,0.2013789862,0.9576532245,0,0,0,0
0.01115,0.0427421629,0.2022752166,0,0.2022752166,0.957257688,0,0,0,0
0.0112,0.0431391336,0.203170225,0,0.203170225,0.9568606019,0,0,0,0
0.01125,0.0435376242,0.204063952,0,0.204063952,0.9564622641,0,0,0,0
0.0113,0.0439379402,0.2049570531,0,0.2049570531,0.9560619593,0,0,0,0
0.01135,0.0443397462,0.2058487982,0,0.2058487982,0.9556601048,0,0,0,0
0.0114,0.0447430313,0.2067391574,0,0.2067391574,0.9552567005,0,0,0,0
0.01145,0.0451474823,0.2076274902,0,0.2076274902,0.9548522234,0,0,0,0
0.0115,0.0455530919,0.2085137963,0,0.2085137963,0.9544467926,0,0,0,0
0.01155,0.0459598191,0.2093979716,0,0.2093979716,0.9540401101,0,0,0,0
0.0116,0.0463686921,0.2102822661,0,0.2102822661,0.9536312222,0,0,0,0
0.01165,0.0467786826,0.2111644447,0,0.2111644447,0.9532210231,0,0,0,0
0.0117,0.0471911952,0.2120475918,0,0.2120475918,0.9528087378,0,0,0,0
0.01175,0.0476061851,0.2129315287,0,0.2129315287,0.9523937106,0,0,0,0
0.0118,0.0480240025,0.2138169557,0,0.2138169557,0.9519758821,0,0,0,0
0.01185,0.0484433733,0.2147012055,0,0.2147012055,0.9515565038,0,0,0,0
0.0119,0.0488673225,0.2155905962,0,0.2155905962,0.9511325955,0,0,0,0
0.01195,0.0492934957,0.216480121,0,0.216480121,0.9507064223,0,0,0,0
0.012,0.0497232936,0.2173726857,0,0.2173726857,0.9502766132,0,0,0,0
0.01205,0.0501563773,0.2182675153,0,0.2182675153,0.9498434663,0,0,0,0
0.0121,0.0505924597,0.219163999,0,0.219163999,0.9494074583,0,0,0,0
0.01215,0.0510321744,0.2200633436,0,0.2200633436,0.9489675164,0,0,0,0
0.0122,0.0514748842,0.2209642828,0,0.2209642828,0.9485250115,0,0,0,0
0.01225,0.0519209355,0.2218674123,0,0.2218674123,0.94807899,0,0,0,0
0.0123,0.0523682348,0.2227684855,0,0.2227684855,0.9476317167,0,0,0,0
0.01235,0.0528181233,0.2236701995,0,0.2236701995,0.9471817613,0,0,0,0
0.0124,0.0532695912,0.2245705575,0,0.2245705575,0.9467302561,0,0,0,0
0.01245,0.053721536,0.2254673541,0,0.2254673541,0.9462783933,0,0,0,0
0.0125,0.0541749485,0.2263625711,0,0.2263625711,0.9458249211,0,0,0,0
0.01255,0.0546269901,0.2272506803,0,0.2272506803,0.9453728199,0,0,0,0
0.0126,0.0550790094,0.2281343937,0,0.2281343937,0.9449207187,0,0,0,0
0.01265,0.0555309951,0.2290137708,0,0.2290137708,0.9444690943,0,0,0,0
0.0127,0.0559799969,0.2298830599,0,0.2298830599,0.9440197349,0,0,0,0
0.01275,0.0564285256,0.2307473421,0,0.2307473421,0.9435713291,0,0,0,0
0.0128,0.0568750575,0.2316037118,0,0.2316037118,0.9431248903,0,0,0,0
0.01285,0.0573199019,0.2324528396,0,0.2324528396,0.9426800013,0,0,0,0
0.0129,0.0577623025,0.2332933992,0,0.2332933992,0.9422374964,0,0,0,0
0.01295,0.058203306,0.2341274619,0,0.2341274619,0.941796422,0,0,0,0
0.013,0.058642529,0.2349544317,0,0.2349544317,0.9413574338,0,0,0,0
0.01305,0.0590802953,0.2357749194,0,0.2357749194,0.9409195781,0,0,0,0
0.0131,0.0595173799,0.2365905046,0,0.2365905046,0.940482676,0,0,0,0
0.01315,0.0599529557,0.2373996526,0,0.2373996526,0.9400469661,0,0,0,0
0.0132,0.0603882037,0.238204658,0,0.238204658,0.9396116734,0,0,0,0
0.01325,0.0608238205,0.2390068322,0,0.2390068322,0.9391759634,0,0,0,0
0.0133,0.0612597987,0.239806205,0,0.239806205,0.9387398958,0,0,0,0
0.01335,0.0616965815,0.2406036407,0,0.2406036407,0.9383034706,0,0,0,0
0.0134,0.0621348694,0.2414003313,0,0.2414003313,0.9378650784,0,0,0,0
0.01345,0.0625743493,0.242195785,0,0.242195785,0.9374256134,0,0,0,0
0.0135,0.0630154014,0.2429906577,0,0.2429906577,0.936984539,0,0,0,0
0.01355,0.0634587854,0.2437863052,0,0.2437863052,0.9365411401,0,0,0,0
0.0136,0.0639044866,0.2445826977,0,0.2445826977,0.9360954165,0,0,0,0
0.01365,0.064351812,0.2453785837,0,0.2453785837,0.9356480837,0,0,0,0
0.0137,0.0648014396,0.246175155,0,0.246175155,0.9351984262,0,0,0,0
0.01375,0.0652530938,0.2469719052,0,0.2469719052,0.9347468019,0,0,0,0
0.0138,0.0657062978,0.24776797,0,0.24776797,0.9342935681,0,0,0,0
0.01385,0.0661622509,0.2485654801,0,0.2485654801,0.9338376522,0,0,0,0
0.0139,0.0666193962,0.249361679,0,0.249361679,0.9333804846,0,0,0,0
0.01395,0.067077741,0.2501565814,0,0.2501565814,0.9329221845,0,0,0,0
0.014,0.0675368086,0.250949353,0,0.250949353,0.9324629307,0,0,0,0
0.01405,0.0679974481,0.2517414987,0,0.2517414987,0.932002306,0,0,0,0
0.0141,0.068458803,0.2525315583,0,0.2525315583,0.9315410852,0,0,0,0
0.01415,0.0689208731,0.2533195019,0,0.2533195019,0.9310789704,0,0,0,0
0.0142,0.0693828985,0.2541041076,0,0.2541041076,0.9306169748,0,0,0,0
0.01425,0.0698451549,0.2548858523,0,0.2548858523,0.9301547408,0,0,0,0
0.0143,0.070308134,0.2556656003,0,0.2556656003,0.9296917915,0,0,0,0
0.01435,0.0707717761,0.2564432025,0,0.2564432025,0.9292280674,0,0,0,0
0.0144,0.0712356567,0.2572180629,0,0.2572180629,0.9287642241,0,0,0,0
0.01445,0.0717006102,0.2579914927,0,0.2579914927,0.928299129,0,0,0,0
0.0145,0.0721666217,0.2587635815,0,0.2587635815,0.9278331995,0,0,0,0
0.01455,0.0726329386,0.2595330179,0,0.2595330179,0.9273669124,0,0,0,0
